,Title,Word,n,nwords
178,Моби Дик,стеклянно-стальным,1,4887
179,Моби Дик,куполом,1,4887
180,Моби Дик,три,3,4887
181,Моби Дик,этажа,1,4887
182,Моби Дик,располагалось,1,4887
183,Моби Дик,мысе,1,4887
184,Моби Дик,капустном,1,4887
185,Моби Дик,квартира,1,4887
186,Моби Дик,кабинет,1,4887
187,Моби Дик,спальня,1,4887
188,Моби Дик,находилась,1,4887
189,Моби Дик,втором,2,4887
190,Моби Дик,этаже,1,4887
191,Моби Дик,окна,2,4887
192,Моби Дик,выходили,1,4887
193,Моби Дик,юг,2,4887
194,Моби Дик,четвертый,1,4887
195,Моби Дик,курильский,1,4887
196,Моби Дик,пролив,2,4887
197,Моби Дик,летом,3,4887
198,Моби Дик,особенно,3,4887
199,Моби Дик,ясные,1,4887
200,Моби Дик,дни,2,4887
201,Моби Дик,из,20,4887
202,Моби Дик,окон,1,4887
203,Моби Дик,можно,4,4887
204,Моби Дик,видеть,4,4887
205,Моби Дик,юго-западе,1,4887
206,Моби Дик,за,15,4887
207,Моби Дик,синей,1,4887
208,Моби Дик,гладью,1,4887
209,Моби Дик,океана,2,4887
210,Моби Дик,белый,3,4887
211,Моби Дик,облачко,1,4887
212,Моби Дик,крошечный,1,4887
213,Моби Дик,треугольник,1,4887
214,Моби Дик,вулкан,1,4887
215,Моби Дик,маканруши,2,4887
216,Моби Дик,чудовищный,1,4887
217,Моби Дик,силы,1,4887
218,Моби Дик,прибой,1,4887
219,Моби Дик,ляпал,1,4887
220,Моби Дик,стекла,1,4887
221,Моби Дик,зеленоватую,1,4887
222,Моби Дик,пузырящуюся,1,4887
223,Моби Дик,пену,1,4887
224,Моби Дик,обстановка,1,4887
225,Моби Дик,квартиры,1,4887
226,Моби Дик,была,10,4887
227,Моби Дик,стандартной,1,4887
228,Моби Дик,привычкам,1,4887
229,Моби Дик,профессиональному,1,4887
230,Моби Дик,духу,1,4887
231,Моби Дик,был,15,4887
232,Моби Дик,аскетом,1,4887
233,Моби Дик,она,13,4887
234,Моби Дик,казалась,2,4887
235,Моби Дик,ему,7,4887
236,Моби Дик,роскошной,1,4887
237,Моби Дик,пытался,1,4887
238,Моби Дик,как-то,4,4887
239,Моби Дик,обжить,1,4887
240,Моби Дик,украсить,1,4887
241,Моби Дик,ее,12,4887
242,Моби Дик,только,15,4887
243,Моби Дик,кабинете,2,4887
244,Моби Дик,над,11,4887
245,Моби Дик,столом,1,4887
246,Моби Дик,повесил,2,4887
247,Моби Дик,полутораметровый,1,4887
248,Моби Дик,клык,1,4887
249,Моби Дик,нарвала,1,4887
250,Моби Дик,убитого,1,4887
251,Моби Дик,рукопашной,1,4887
252,Моби Дик,во,5,4887
253,Моби Дик,подводной,1,4887
254,Моби Дик,прогулки,1,4887
255,Моби Дик,лет,4,4887
256,Моби Дик,пять,4,4887
257,Моби Дик,назад,7,4887
258,Моби Дик,да,13,4887
259,Моби Дик,завел,1,4887
260,Моби Дик,самодельную,1,4887
261,Моби Дик,полочку,1,4887
262,Моби Дик,со,3,4887
263,Моби Дик,старыми,1,4887
264,Моби Дик,книгами,1,4887
265,Моби Дик,взятыми,1,4887
266,Моби Дик,походной,1,4887
267,Моби Дик,библиотеки,1,4887
268,Моби Дик,таймыра,1,4887
269,Моби Дик,любил,2,4887
270,Моби Дик,свою,4,4887
271,Моби Дик,квартиру,1,4887
272,Моби Дик,часами,1,4887
273,Моби Дик,сидел,1,4887
274,Моби Дик,у,17,4887
275,Моби Дик,огромного,1,4887
276,Моби Дик,всю,2,4887
277,Моби Дик,стену,1,4887
278,Моби Дик,беспричинно,1,4887
279,Моби Дик,улыбаясь,1,4887
280,Моби Дик,вглядываясь,1,4887
281,Моби Дик,бушующие,1,4887
282,Моби Дик,волны,10,4887
283,Моби Дик,едва,3,4887
284,Моби Дик,слышно,1,4887
285,Моби Дик,пощелкивает,1,4887
286,Моби Дик,система,1,4887
287,Моби Дик,кондиционирования,1,4887
288,Моби Дик,комнате,1,4887
289,Моби Дик,полумрак,1,4887
290,Моби Дик,тепло,1,4887
291,Моби Дик,уютно,1,4887
292,Моби Дик,возле,1,4887
293,Моби Дик,локтя,1,4887
294,Моби Дик,чашка,1,4887
295,Моби Дик,черного,1,4887
296,Моби Дик,кофе,1,4887
297,Моби Дик,окном,1,4887
298,Моби Дик,страшный,1,4887
299,Моби Дик,ураган,1,4887
300,Моби Дик,несет,1,4887
301,Моби Дик,сжатые,1,4887
302,Моби Дик,массы,1,4887
303,Моби Дик,воздуха,2,4887
304,Моби Дик,перемешанного,1,4887
305,Моби Дик,с,45,4887
306,Моби Дик,дождем,1,4887
307,Моби Дик,снегом,1,4887
308,Моби Дик,вихри,1,4887
309,Моби Дик,соленой,1,4887
310,Моби Дик,воды,5,4887
311,Моби Дик,понять,2,4887
312,Моби Дик,где,9,4887
313,Моби Дик,кончается,1,4887
314,Моби Дик,воздух,2,4887
315,Моби Дик,начинаются,1,4887
316,Моби Дик,пенистые,1,4887
317,Моби Дик,гребни,1,4887
318,Моби Дик,волн,6,4887
319,Моби Дик,еще,10,4887
320,Моби Дик,хорошо,7,4887
321,Моби Дик,встать,1,4887
322,Моби Дик,среди,2,4887
323,Моби Дик,ночи,3,4887
324,Моби Дик,чуть-чуть,3,4887
325,Моби Дик,приоткрыть,1,4887
326,Моби Дик,затененное,1,4887
327,Моби Дик,освещение,1,4887
328,Моби Дик,включить,1,4887
329,Моби Дик,грига,1,4887
330,Моби Дик,шумана,1,4887
331,Моби Дик,покойно,1,4887
332,Моби Дик,слушать,1,4887
333,Моби Дик,тихую,1,4887
334,Моби Дик,музыку,1,4887
335,Моби Дик,различимые,1,4887
336,Моби Дик,шумы,1,4887
337,Моби Дик,зимней,2,4887
338,Моби Дик,потом,4,4887
339,Моби Дик,взять,2,4887
340,Моби Дик,полки,1,4887
341,Моби Дик,потрепанную,1,4887
342,Моби Дик,книжку,1,4887
